State,County,Fips,Year,FIRate ,NumberFIIndividuals ,ChildFIRate,NumberFIChildren,CostPerMeal 
VT,"Windham County, Vermont",50025,2021,11.00%,"5,020",14.50%,"1,190",$4.39 
VT,"Windsor County, Vermont",50027,2021,8.20%,"4,740",9.40%,980,$4.50 
VA,"Accomack County, Virginia",51001,2021,9.70%,"3,230",17.20%,"1,190",$3.39 
VA,"Albemarle County, Virginia",51003,2021,6.80%,"7,570",3.50%,780,$4.12 
VA,"Alleghany County, Virginia",51005,2021,10.90%,"1,670",11.30%,330,$3.70 
VA,"Amelia County, Virginia",51007,2021,7.80%,"1,030",9.90%,280,$3.51 
VA,"Amherst County, Virginia",51009,2021,8.50%,"2,670",9.10%,560,$3.38 
VA,"Appomattox County, Virginia",51011,2021,8.90%,"1,420",11.50%,400,$3.38 
VA,"Arlington County, Virginia",51013,2021,7.50%,"17,570",0.70%,300,$5.02 
VA,"Augusta County, Virginia",51015,2021,7.70%,"5,900",6.80%,"1,000",$3.58 
VA,"Bath County, Virginia",51017,2021,12.70%,540,15.50%,90,$3.44 
VA,"Bedford County, Virginia",51019,2021,7.40%,"5,890",7.10%,"1,120",$3.63 
VA,"Bland County, Virginia",51021,2021,9.80%,620,10.90%,110,$3.33 
VA,"Botetourt County, Virginia",51023,2021,6.40%,"2,160",3.00%,190,$3.70 
VA,"Brunswick County, Virginia",51025,2021,9.10%,"1,460",24.90%,660,$3.37 
VA,"Buchanan County, Virginia",51027,2021,18.80%,"3,870",24.80%,870,$3.27 
VA,"Buckingham County, Virginia",51029,2021,9.90%,"1,660",16.10%,490,$3.40 
VA,"Campbell County, Virginia",51031,2021,8.10%,"4,520",8.70%,980,$3.37 
VA,"Caroline County, Virginia",51033,2021,6.70%,"2,060",9.90%,680,$3.71 
VA,"Carroll County, Virginia",51035,2021,11.40%,"3,330",10.20%,540,$3.50 
VA,"Charles City County, Virginia",51036,2021,7.40%,510,14.30%,150,$3.78 
VA,"Charlotte County, Virginia",51037,2021,12.50%,"1,450",17.90%,460,$3.40 
VA,"Chesterfield County, Virginia",51041,2021,5.40%,"19,560",6.90%,"5,930",$3.85 
VA,"Clarke County, Virginia",51043,2021,7.10%,"1,040",3.00%,90,$3.71 
VA,"Craig County, Virginia",51045,2021,10.50%,510,9.90%,110,$3.70 
VA,"Culpeper County, Virginia",51047,2021,6.60%,"3,420",5.90%,760,$3.77 
VA,"Cumberland County, Virginia",51049,2021,5.60%,540,10.50%,200,$3.40 
VA,"Dickenson County, Virginia",51051,2021,17.70%,"2,520",19.80%,550,$3.54 
VA,"Dinwiddie County, Virginia",51053,2021,7.80%,"2,190",11.90%,700,$3.52 
VA,"Essex County, Virginia",51057,2021,9.80%,"1,050",20.10%,400,$3.71 
VA,"Fairfax County, Virginia",51059,2021,5.80%,"66,170",2.20%,"6,020",$4.61 
VA,"Fauquier County, Virginia",51061,2021,5.80%,"4,220",2.50%,420,$4.02 
VA,"Floyd County, Virginia",51063,2021,7.40%,"1,150",5.30%,160,$3.86 
VA,"Fluvanna County, Virginia",51065,2021,5.00%,"1,340",4.80%,260,$3.84 
VA,"Franklin County, Virginia",51067,2021,9.40%,"5,140",10.00%,"1,050",$3.49 
VA,"Frederick County, Virginia",51069,2021,6.70%,"6,050",4.00%,840,$3.85 
VA,"Giles County, Virginia",51071,2021,8.90%,"1,500",7.40%,250,$3.34 
VA,"Gloucester County, Virginia",51073,2021,8.10%,"3,120",8.20%,640,$3.58 
VA,"Goochland County, Virginia",51075,2021,4.70%,"1,150",2.80%,120,$3.79 
VA,"Grayson County, Virginia",51077,2021,11.80%,"1,820",13.50%,340,$3.40 
VA,"Greene County, Virginia",51079,2021,7.90%,"1,610",7.80%,380,$3.44 
VA,"Greensville County, Virginia",51081,2021,6.50%,740,17.40%,310,$3.32 
VA,"Halifax County, Virginia",51083,2021,10.00%,"3,420",17.20%,"1,200",$3.35 
VA,"Hanover County, Virginia",51085,2021,5.50%,"5,980",3.10%,740,$3.83 
VA,"Henrico County, Virginia",51087,2021,6.60%,"21,780",9.70%,"7,310",$3.99 
VA,"Henry County, Virginia",51089,2021,11.10%,"5,680",16.30%,"1,630",$3.26 
VA,"Highland County, Virginia",51091,2021,10.50%,230,11.30%,30,$3.67 
VA,"Isle of Wight County, Virginia",51093,2021,7.00%,"2,700",9.50%,770,$3.74 
VA,"James City County, Virginia",51095,2021,6.90%,"5,350",6.50%,"1,020",$4.29 
VA,"King and Queen County, Virginia",51097,2021,6.80%,460,14.00%,180,$3.78 
VA,"King George County, Virginia",51099,2021,5.20%,"1,380",4.50%,300,$3.64 
VA,"King William County, Virginia",51101,2021,5.90%,"1,040",6.70%,270,$3.78 
VA,"Lancaster County, Virginia",51103,2021,8.20%,900,16.10%,280,$3.58 
VA,"Lee County, Virginia",51105,2021,17.90%,"4,020",20.00%,830,$3.20 
VA,"Loudoun County, Virginia",51107,2021,4.10%,"16,800",0.00%, -   ,$4.44 
VA,"Louisa County, Virginia",51109,2021,7.90%,"2,920",7.80%,590,$3.56 
VA,"Lunenburg County, Virginia",51111,2021,9.70%,"1,170",16.90%,400,$3.37 
VA,"Madison County, Virginia",51113,2021,7.00%,960,5.40%,150,$3.44 
VA,"Mathews County, Virginia",51115,2021,7.70%,660,8.70%,120,$3.58 
VA,"Mecklenburg County, Virginia",51117,2021,11.30%,"3,440",19.60%,"1,120",$3.37 
VA,"Middlesex County, Virginia",51119,2021,7.90%,850,8.50%,140,$3.58 
VA,"Montgomery County, Virginia",51121,2021,10.60%,"10,520",6.70%,"1,040",$3.86 
VA,"Nelson County, Virginia",51125,2021,9.10%,"1,350",9.00%,230,$3.58 
VA,"New Kent County, Virginia",51127,2021,4.20%,950,2.30%,100,$3.78 
VA,"Northampton County, Virginia",51131,2021,11.50%,"1,410",20.40%,490,$3.39 
VA,"Northumberland County, Virginia",51133,2021,9.10%,"1,090",18.60%,340,$3.96 
VA,"Nottoway County, Virginia",51135,2021,9.40%,"1,470",14.40%,440,$3.40 
VA,"Orange County, Virginia",51137,2021,8.80%,"3,180",10.20%,780,$3.58 
VA,"Page County, Virginia",51139,2021,11.90%,"2,830",11.10%,530,$3.37 
VA,"Patrick County, Virginia",51141,2021,10.40%,"1,840",9.00%,280,$3.26 
VA,"Pittsylvania County, Virginia",51143,2021,10.60%,"6,440",14.60%,"1,670",$3.52 
VA,"Powhatan County, Virginia",51145,2021,4.40%,"1,330",1.40%,70,$3.51 
VA,"Prince Edward County, Virginia",51147,2021,12.70%,"2,770",18.50%,630,$3.40 
VA,"Prince George County, Virginia",51149,2021,7.20%,"3,020",13.20%,"1,230",$3.70 
VA,"Prince William County, Virginia",51153,2021,4.50%,"21,310",4.80%,"6,200",$4.09 
VA,"Pulaski County, Virginia",51155,2021,11.90%,"4,020",11.90%,730,$3.34 
VA,"Rappahannock County, Virginia",51157,2021,7.30%,540,4.10%,60,$3.77 
VA,"Richmond County, Virginia",51159,2021,7.50%,670,7.00%,100,$3.96 
VA,"Roanoke County, Virginia",51161,2021,7.10%,"6,830",4.40%,860,$3.64 
VA,"Rockbridge County, Virginia",51163,2021,9.50%,"2,160",10.30%,420,$3.44 
VA,"Rockingham County, Virginia",51165,2021,7.00%,"5,850",4.60%,860,$3.30 
VA,"Russell County, Virginia",51167,2021,15.50%,"4,020",13.80%,670,$3.37 
VA,"Scott County, Virginia",51169,2021,13.70%,"2,950",13.30%,540,$3.36 
VA,"Shenandoah County, Virginia",51171,2021,10.20%,"4,480",9.50%,890,$3.53 
VA,"Smyth County, Virginia",51173,2021,14.60%,"4,370",15.60%,910,$3.45 
VA,"Southampton County, Virginia",51175,2021,6.30%,"1,130",10.60%,370,$3.31 
VA,"Spotsylvania County, Virginia",51177,2021,5.80%,"8,050",6.10%,"2,100",$3.94 
VA,"Stafford County, Virginia",51179,2021,4.30%,"6,640",3.60%,"1,440",$3.97 
VA,"Surry County, Virginia",51181,2021,8.50%,560,18.90%,220,$4.29 
VA,"Sussex County, Virginia",51183,2021,7.10%,780,18.30%,320,$3.70 
VA,"Tazewell County, Virginia",51185,2021,13.70%,"5,550",15.50%,"1,230",$3.34 
VA,"Warren County, Virginia",51187,2021,8.90%,"3,620",9.20%,820,$3.83 
VA,"Washington County, Virginia",51191,2021,11.70%,"6,340",11.00%,"1,050",$3.64 
VA,"Westmoreland County, Virginia",51193,2021,9.90%,"1,820",15.10%,520,$3.64 
VA,"Wise County, Virginia",51195,2021,15.60%,"5,690",17.00%,"1,200",$3.54 
VA,"Wythe County, Virginia",51197,2021,11.90%,"3,370",12.40%,690,$3.40 
VA,"York County, Virginia",51199,2021,5.90%,"4,130",5.20%,860,$3.70 
VA,"Alexandria city, Virginia",51510,2021,8.00%,"12,600",9.10%,"2,660",$4.94 
VA,"Bristol city, Virginia",51520,2021,14.30%,"2,430",17.00%,570,$3.64 
VA,"Buena Vista city, Virginia",51530,2021,14.80%,980,15.80%,210,$3.44 
VA,"Charlottesville city, Virginia",51540,2021,11.20%,"5,230",12.10%,890,$4.89 
VA,"Chesapeake city, Virginia",51550,2021,5.80%,"14,370",9.10%,"5,520",$3.79 
VA,"Colonial Heights city, Virginia",51570,2021,9.10%,"1,650",12.40%,520,$3.30 
VA,"Covington city, Virginia",51580,2021,10.50%,600,14.50%,190,$3.70 
VA,"Danville city, Virginia",51590,2021,13.70%,"5,830",27.00%,"2,540",$3.40 
VA,"Emporia city, Virginia",51595,2021,12.30%,710,27.60%,460,$3.32 
VA,"Fairfax city, Virginia",51600,2021,6.50%,"1,570",1.20%,70,$4.40 
VA,"Falls Church city, Virginia",51610,2021,5.60%,810,0.00%, -   ,$4.61 
VA,"Franklin city, Virginia",51620,2021,12.40%,"1,020",26.90%,570,$3.71 
VA,"Fredericksburg city, Virginia",51630,2021,10.60%,"2,960",12.90%,760,$4.35 
VA,"Galax city, Virginia",51640,2021,12.80%,860,12.80%,200,$3.50 
VA,"Hampton city, Virginia",51650,2021,9.10%,"12,450",20.30%,"5,930",$3.64 
VA,"Harrisonburg city, Virginia",51660,2021,11.30%,"5,890",10.40%,890,$3.80 
VA,"Hopewell city, Virginia",51670,2021,14.40%,"3,330",27.70%,"1,650",$3.61 
VA,"Lexington city, Virginia",51678,2021,13.10%,960,5.70%,30,$3.44 
VA,"Lynchburg city, Virginia",51680,2021,11.10%,"8,780",16.70%,"2,520",$3.67 
VA,"Manassas city, Virginia",51683,2021,4.70%,"2,000",5.20%,590,$3.81 
VA,"Manassas Park city, Virginia",51685,2021,4.70%,800,6.20%,270,$3.81 
VA,"Martinsville city, Virginia",51690,2021,14.80%,"2,000",27.90%,950,$3.26 
VA,"Newport News city, Virginia",51700,2021,10.70%,"19,820",19.80%,"8,580",$3.73 
VA,"Norfolk city, Virginia",51710,2021,11.30%,"27,040",20.20%,"9,480",$3.75 
VA,"Norton city, Virginia",51720,2021,18.70%,690,19.80%,130,$3.54 
VA,"Petersburg city, Virginia",51730,2021,14.50%,"4,800",33.30%,"2,420",$3.30 
VA,"Poquoson city, Virginia",51735,2021,6.10%,750,1.60%,40,$3.64 
VA,"Portsmouth city, Virginia",51740,2021,10.30%,"9,990",22.40%,"5,110",$3.64 
VA,"Radford city, Virginia",51750,2021,13.60%,"2,200",10.40%,190,$3.34 
VA,"Richmond city, Virginia",51760,2021,11.30%,"25,560",21.90%,"8,570",$4.30 
VA,"Roanoke city, Virginia",51770,2021,11.00%,"10,950",16.30%,"3,620",$3.52 
VA,"Salem city, Virginia",51775,2021,8.70%,"2,200",7.30%,350,$3.55 
VA,"Staunton city, Virginia",51790,2021,10.70%,"2,720",11.50%,560,$3.67 
VA,"Suffolk city, Virginia",51800,2021,6.00%,"5,600",12.70%,"2,860",$3.71 
VA,"Virginia Beach city, Virginia",51810,2021,6.80%,"31,310",8.20%,"8,380",$4.03 
VA,"Waynesboro city, Virginia",51820,2021,12.20%,"2,690",15.10%,760,$3.58 
VA,"Williamsburg city, Virginia",51830,2021,9.70%,"1,480",14.40%,240,$4.29 
VA,"Winchester city, Virginia",51840,2021,11.20%,"3,160",10.70%,680,$3.71 
WA,"Adams County, Washington",53001,2021,10.80%,"2,190",16.00%,"1,160",$3.25 
WA,"Asotin County, Washington",53003,2021,10.00%,"2,230",14.70%,680,$3.70 
WA,"Benton County, Washington",53005,2021,8.90%,"18,150",12.80%,"7,000",$3.90 
WA,"Chelan County, Washington",53007,2021,9.90%,"7,750",14.30%,"2,630",$3.94 
WA,"Clallam County, Washington",53009,2021,11.30%,"8,630",17.80%,"2,320",$4.06 
WA,"Clark County, Washington",53011,2021,8.40%,"41,880",11.40%,"13,420",$4.03 
WA,"Columbia County, Washington",53013,2021,9.80%,390,13.00%,100,$3.82 
WA,"Cowlitz County, Washington",53015,2021,11.70%,"12,760",16.30%,"4,080",$3.79 
WA,"Douglas County, Washington",53017,2021,9.40%,"4,010",14.50%,"1,600",$3.92 
WA,"Ferry County, Washington",53019,2021,15.00%,"1,080",21.50%,270,$3.64 
WA,"Franklin County, Washington",53021,2021,9.20%,"8,790",13.90%,"4,270",$3.51 
WA,"Garfield County, Washington",53023,2021,10.70%,240,16.80%,70,$3.70 
WA,"Grant County, Washington",53025,2021,9.70%,"9,530",14.90%,"4,320",$3.69 
WA,"Grays Harbor County, Washington",53027,2021,13.10%,"9,770",19.60%,"3,000",$3.78 
WA,"Island County, Washington",53029,2021,8.20%,"7,040",12.60%,"1,970",$4.43 
WA,"Jefferson County, Washington",53031,2021,11.30%,"3,680",20.10%,780,$4.71 
WA,"King County, Washington",53033,2021,7.30%,"164,250",8.10%,"36,830",$4.51 
WA,"Kitsap County, Washington",53035,2021,8.20%,"22,280",11.50%,"6,380",$4.10 
WA,"Kittitas County, Washington",53037,2021,9.60%,"4,230",11.90%,900,$4.27 
WA,"Klickitat County, Washington",53039,2021,10.80%,"2,440",14.70%,640,$3.77 
WA,"Lewis County, Washington",53041,2021,11.20%,"9,100",16.00%,"2,820",$3.76 
WA,"Lincoln County, Washington",53043,2021,10.00%,"1,080",15.20%,360,$3.92 
WA,"Mason County, Washington",53045,2021,10.90%,"7,110",16.10%,"2,060",$3.87 
WA,"Okanogan County, Washington",53047,2021,13.40%,"5,610",20.20%,"1,970",$3.44 
WA,"Pacific County, Washington",53049,2021,12.50%,"2,870",18.70%,670,$3.59 
WA,"Pend Oreille County, Washington",53051,2021,11.30%,"1,500",15.20%,390,$3.65 
WA,"Pierce County, Washington",53053,2021,8.40%,"76,060",12.40%,"26,550",$4.11 
WA,"San Juan County, Washington",53055,2021,8.10%,"1,440",11.50%,260,$4.54 
WA,"Skagit County, Washington",53057,2021,9.40%,"12,090",13.80%,"3,840",$4.09 
WA,"Skamania County, Washington",53059,2021,8.60%,"1,030",10.90%,230,$4.04 
WA,"Snohomish County, Washington",53061,2021,7.20%,"58,670",9.40%,"17,440",$4.23 
WA,"Spokane County, Washington",53063,2021,10.10%,"53,630",13.10%,"15,440",$3.92 
WA,"Stevens County, Washington",53065,2021,11.30%,"5,190",16.10%,"1,600",$3.64 
WA,"Thurston County, Washington",53067,2021,8.50%,"24,750",11.90%,"7,450",$4.12 
WA,"Wahkiakum County, Washington",53069,2021,10.90%,480,14.50%,110,$3.79 
WA,"Walla Walla County, Washington",53071,2021,8.80%,"5,460",11.60%,"1,530",$3.82 
WA,"Whatcom County, Washington",53073,2021,9.80%,"22,000",12.20%,"5,310",$4.54 
WA,"Whitman County, Washington",53075,2021,10.80%,"5,190",11.50%,840,$4.00 
WA,"Yakima County, Washington",53077,2021,10.70%,"27,340",16.10%,"12,250",$3.64 
WV,"Barbour County, West Virginia",54001,2021,12.50%,"1,940",16.10%,520,$3.13 
WV,"Berkeley County, West Virginia",54003,2021,7.20%,"8,710",9.50%,"2,670",$3.56 
WV,"Boone County, West Virginia",54005,2021,13.30%,"2,940",15.60%,730,$3.09 
WV,"Braxton County, West Virginia",54007,2021,12.80%,"1,620",17.10%,430,$3.24 
WV,"Brooke County, West Virginia",54009,2021,10.20%,"2,310",13.80%,550,$3.38 
WV,"Cabell County, West Virginia",54011,2021,12.70%,"12,010",14.80%,"2,810",$3.47 
WV,"Calhoun County, West Virginia",54013,2021,18.60%,"1,200",26.60%,320,$3.18 
WV,"Clay County, West Virginia",54015,2021,17.40%,"1,420",23.30%,430,$3.24 
WV,"Doddridge County, West Virginia",54017,2021,8.90%,700,9.10%,110,$3.50 
WV,"Fayette County, West Virginia",54019,2021,14.60%,"6,000",19.10%,"1,630",$3.27 
WV,"Gilmer County, West Virginia",54021,2021,8.90%,670,9.00%,100,$3.13 
WV,"Grant County, West Virginia",54023,2021,8.40%,930,9.90%,220,$3.26 
WV,"Greenbrier County, West Virginia",54025,2021,12.20%,"4,070",15.80%,"1,030",$3.31 
WV,"Hampshire County, West Virginia",54027,2021,12.10%,"2,810",18.40%,860,$3.37 
WV,"Hancock County, West Virginia",54029,2021,11.20%,"3,280",14.00%,790,$3.99 
WV,"Hardy County, West Virginia",54031,2021,10.80%,"1,550",17.70%,520,$3.37 
WV,"Harrison County, West Virginia",54033,2021,10.40%,"6,890",11.90%,"1,700",$3.50 
WV,"Jackson County, West Virginia",54035,2021,12.50%,"3,510",14.90%,900,$3.18 
WV,"Jefferson County, West Virginia",54037,2021,6.10%,"3,530",6.50%,830,$3.76 
WV,"Kanawha County, West Virginia",54039,2021,11.00%,"20,100",15.50%,"5,680",$3.41 
WV,"Lewis County, West Virginia",54041,2021,12.80%,"2,170",15.40%,550,$3.13 
WV,"Lincoln County, West Virginia",54043,2021,15.20%,"3,140",20.00%,920,$3.60 
WV,"Logan County, West Virginia",54045,2021,17.30%,"5,680",23.50%,"1,600",$3.11 
WV,"McDowell County, West Virginia",54047,2021,18.20%,"3,510",24.20%,940,$3.34 
WV,"Marion County, West Virginia",54049,2021,10.60%,"5,960",13.90%,"1,580",$3.49 
WV,"Marshall County, West Virginia",54051,2021,11.00%,"3,390",14.40%,860,$3.24 
WV,"Mason County, West Virginia",54053,2021,11.00%,"2,820",15.40%,830,$3.13 
WV,"Mercer County, West Virginia",54055,2021,13.60%,"8,170",19.20%,"2,380",$3.24 
WV,"Mineral County, West Virginia",54057,2021,9.20%,"2,480",10.60%,580,$3.26 
WV,"Mingo County, West Virginia",54059,2021,20.30%,"4,830",25.70%,"1,370",$3.31 
WV,"Monongalia County, West Virginia",54061,2021,9.30%,"9,850",8.20%,"1,430",$3.70 
WV,"Monroe County, West Virginia",54063,2021,10.40%,"1,300",15.70%,400,$3.31 
WV,"Morgan County, West Virginia",54065,2021,6.40%,"1,100",8.00%,240,$3.56 
WV,"Nicholas County, West Virginia",54067,2021,12.90%,"3,200",17.00%,840,$3.24 
WV,"Ohio County, West Virginia",54069,2021,9.80%,"4,160",11.00%,910,$3.55 
WV,"Pendleton County, West Virginia",54071,2021,9.10%,570,12.10%,140,$3.70 
WV,"Pleasants County, West Virginia",54073,2021,8.50%,640,9.20%,140,$3.44 
WV,"Pocahontas County, West Virginia",54075,2021,13.30%,"1,070",14.20%,200,$3.31 
WV,"Preston County, West Virginia",54077,2021,9.60%,"3,300",11.40%,740,$3.16 
WV,"Putnam County, West Virginia",54079,2021,6.80%,"3,890",7.70%,980,$3.44 
WV,"Raleigh County, West Virginia",54081,2021,14.10%,"10,550",18.60%,"2,950",$3.28 
WV,"Randolph County, West Virginia",54083,2021,10.60%,"2,970",13.30%,710,$3.27 
WV,"Ritchie County, West Virginia",54085,2021,13.80%,"1,200",20.50%,370,$3.34 
WV,"Roane County, West Virginia",54087,2021,16.40%,"2,320",22.60%,670,$3.18 
WV,"Summers County, West Virginia",54089,2021,15.30%,"1,860",21.60%,430,$3.28 
WV,"Taylor County, West Virginia",54091,2021,10.60%,"1,770",14.20%,480,$3.49 
WV,"Tucker County, West Virginia",54093,2021,10.60%,720,14.40%,150,$3.27 
WV,"Tyler County, West Virginia",54095,2021,11.30%,950,13.60%,220,$3.24 
WV,"Upshur County, West Virginia",54097,2021,12.20%,"2,910",15.90%,790,$3.13 
WV,"Wayne County, West Virginia",54099,2021,12.90%,"5,090",14.00%,"1,150",$3.13 
WV,"Webster County, West Virginia",54101,2021,14.80%,"1,250",18.40%,310,$3.24 
WV,"Wetzel County, West Virginia",54103,2021,12.30%,"1,800",14.70%,440,$3.24 
WV,"Wirt County, West Virginia",54105,2021,14.90%,790,19.40%,220,$3.34 
WV,"Wood County, West Virginia",54107,2021,10.80%,"9,140",12.90%,"2,320",$3.34 
WV,"Wyoming County, West Virginia",54109,2021,17.60%,"3,810",21.40%,950,$3.35 
WI,"Adams County, Wisconsin",55001,2021,10.90%,"2,230",18.20%,540,$3.35 
WI,"Ashland County, Wisconsin",55003,2021,10.70%,"1,720",15.70%,550,$3.56 
WI,"Barron County, Wisconsin",55005,2021,8.30%,"3,870",12.60%,"1,280",$3.70 
WI,"Bayfield County, Wisconsin",55007,2021,9.10%,"1,460",15.40%,420,$3.56 
WI,"Brown County, Wisconsin",55009,2021,7.20%,"19,140",9.90%,"6,280",$3.81 
WI,"Buffalo County, Wisconsin",55011,2021,7.30%,970,10.10%,280,$3.43 
WI,"Burnett County, Wisconsin",55013,2021,9.40%,"1,550",14.90%,420,$3.37 
WI,"Calumet County, Wisconsin",55015,2021,4.50%,"2,330",5.80%,710,$3.66 
WI,"Chippewa County, Wisconsin",55017,2021,7.30%,"4,840",10.10%,"1,480",$3.54 
WI,"Clark County, Wisconsin",55019,2021,7.20%,"2,480",10.90%,"1,130",$3.66 
WI,"Columbia County, Wisconsin",55021,2021,5.80%,"3,400",8.30%,"1,030",$3.64 
WI,"Crawford County, Wisconsin",55023,2021,8.40%,"1,350",13.30%,430,$3.52 
WI,"Dane County, Wisconsin",55025,2021,6.10%,"34,020",7.50%,"8,500",$4.15 
WI,"Dodge County, Wisconsin",55027,2021,6.30%,"5,580",9.10%,"1,620",$3.53 
WI,"Door County, Wisconsin",55029,2021,7.00%,"2,090",11.20%,560,$3.94 
WI,"Douglas County, Wisconsin",55031,2021,9.00%,"3,970",12.20%,"1,070",$3.56 
WI,"Dunn County, Wisconsin",55033,2021,7.90%,"3,560",9.40%,830,$3.58 
WI,"Eau Claire County, Wisconsin",55035,2021,7.80%,"8,220",9.50%,"2,050",$4.00 
WI,"Florence County, Wisconsin",55037,2021,8.40%,380,11.90%,90,$3.55 
WI,"Fond du Lac County, Wisconsin",55039,2021,6.60%,"6,880",10.10%,"2,260",$3.69 
WI,"Forest County, Wisconsin",55041,2021,10.50%,960,15.40%,280,$3.53 
WI,"Grant County, Wisconsin",55043,2021,7.20%,"3,750",9.60%,"1,060",$3.52 
WI,"Green County, Wisconsin",55045,2021,6.20%,"2,290",9.00%,740,$3.51 
WI,"Green Lake County, Wisconsin",55047,2021,8.80%,"1,670",14.00%,590,$3.51 
WI,"Iowa County, Wisconsin",55049,2021,6.40%,"1,520",7.80%,420,$3.45 
WI,"Iron County, Wisconsin",55051,2021,10.70%,650,17.20%,160,$3.73 
WI,"Jackson County, Wisconsin",55053,2021,9.30%,"1,950",13.40%,620,$3.46 
WI,"Jefferson County, Wisconsin",55055,2021,6.00%,"5,090",8.50%,"1,510",$3.63 
WI,"Juneau County, Wisconsin",55057,2021,9.80%,"2,610",14.20%,770,$3.95 
WI,"Kenosha County, Wisconsin",55059,2021,7.70%,"13,030",12.80%,"4,910",$3.74 
WI,"Kewaunee County, Wisconsin",55061,2021,5.40%,"1,110",7.00%,300,$3.18 
WI,"La Crosse County, Wisconsin",55063,2021,7.10%,"8,560",8.00%,"1,920",$4.00 
WI,"Lafayette County, Wisconsin",55065,2021,6.30%,"1,060",8.80%,360,$3.52 
WI,"Langlade County, Wisconsin",55067,2021,9.80%,"1,910",13.20%,500,$3.41 
WI,"Lincoln County, Wisconsin",55069,2021,7.50%,"2,140",11.10%,580,$3.41 
WI,"Manitowoc County, Wisconsin",55071,2021,7.00%,"5,680",10.40%,"1,750",$3.65 
WI,"Marathon County, Wisconsin",55073,2021,6.50%,"8,890",8.40%,"2,660",$3.64 
WI,"Marinette County, Wisconsin",55075,2021,8.40%,"3,500",13.00%,"1,040",$3.38 
WI,"Marquette County, Wisconsin",55077,2021,8.90%,"1,380",13.50%,410,$3.51 
WI,"Menominee County, Wisconsin",55078,2021,15.80%,680,26.10%,370,$3.42 
WI,"Milwaukee County, Wisconsin",55079,2021,9.90%,"93,010",20.70%,"46,950",$3.79 
WI,"Monroe County, Wisconsin",55081,2021,7.70%,"3,570",11.10%,"1,300",$3.58 
WI,"Oconto County, Wisconsin",55083,2021,6.60%,"2,570",9.50%,740,$3.22 
WI,"Oneida County, Wisconsin",55085,2021,7.00%,"2,620",9.90%,650,$3.53 
WI,"Outagamie County, Wisconsin",55087,2021,5.90%,"11,210",7.80%,"3,510",$3.84 
WI,"Ozaukee County, Wisconsin",55089,2021,4.40%,"3,980",4.80%,940,$3.91 
WI,"Pepin County, Wisconsin",55091,2021,6.50%,480,9.90%,150,$3.43 
WI,"Pierce County, Wisconsin",55093,2021,5.70%,"2,390",6.60%,580,$4.47 
WI,"Polk County, Wisconsin",55095,2021,7.30%,"3,270",10.90%,"1,010",$3.66 
WI,"Portage County, Wisconsin",55097,2021,6.80%,"4,780",8.20%,"1,110",$3.84 
WI,"Price County, Wisconsin",55099,2021,9.30%,"1,300",15.50%,390,$3.53 
WI,"Racine County, Wisconsin",55101,2021,7.50%,"14,830",15.00%,"6,860",$3.67 
WI,"Richland County, Wisconsin",55103,2021,8.70%,"1,520",13.00%,490,$3.45 
WI,"Rock County, Wisconsin",55105,2021,7.90%,"12,940",12.60%,"4,780",$3.70 
WI,"Rusk County, Wisconsin",55107,2021,9.20%,"1,310",13.60%,400,$3.54 
WI,"St. Croix County, Wisconsin",55109,2021,4.90%,"4,510",5.90%,"1,350",$3.94 
WI,"Sauk County, Wisconsin",55111,2021,7.30%,"4,780",10.10%,"1,510",$3.64 
WI,"Sawyer County, Wisconsin",55113,2021,10.00%,"1,780",16.40%,560,$3.70 
WI,"Shawano County, Wisconsin",55115,2021,7.70%,"3,150",10.80%,950,$3.42 
WI,"Sheboygan County, Wisconsin",55117,2021,5.80%,"6,860",8.50%,"2,200",$3.68 
WI,"Taylor County, Wisconsin",55119,2021,6.30%,"1,260",8.10%,380,$3.66 
WI,"Trempealeau County, Wisconsin",55121,2021,6.00%,"1,830",8.20%,630,$3.43 
WI,"Vernon County, Wisconsin",55123,2021,8.10%,"2,490",11.40%,920,$3.57 
WI,"Vilas County, Wisconsin",55125,2021,8.30%,"1,900",14.40%,570,$3.73 
WI,"Walworth County, Wisconsin",55127,2021,6.50%,"6,850",9.00%,"1,970",$3.72 
WI,"Washburn County, Wisconsin",55129,2021,9.40%,"1,560",13.90%,430,$3.70 
WI,"Washington County, Wisconsin",55131,2021,4.70%,"6,410",5.80%,"1,730",$3.65 
WI,"Waukesha County, Wisconsin",55133,2021,4.60%,"18,710",5.10%,"4,470",$3.86 
WI,"Waupaca County, Wisconsin",55135,2021,7.50%,"3,890",11.50%,"1,220",$3.63 
WI,"Waushara County, Wisconsin",55137,2021,7.80%,"1,930",12.20%,550,$3.51 
WI,"Winnebago County, Wisconsin",55139,2021,7.50%,"12,850",10.30%,"3,640",$3.79 
WI,"Wood County, Wisconsin",55141,2021,8.40%,"6,250",12.00%,"1,940",$3.66 
WY,"Albany County, Wyoming",56001,2021,12.30%,"4,580",11.20%,670,$3.83 
WY,"Big Horn County, Wyoming",56003,2021,10.60%,"1,240",13.60%,400,$3.81 
WY,"Campbell County, Wyoming",56005,2021,10.20%,"4,770",11.20%,"1,430",$3.69 
WY,"Carbon County, Wyoming",56007,2021,11.20%,"1,650",15.80%,540,$3.83 
WY,"Converse County, Wyoming",56009,2021,9.90%,"1,360",12.70%,430,$3.64 
