2 pager title,category,topic_area,variable_name,user_friendly_variable_name,variable_definition,periodicity,aggregation_method,format,source,url,last_update_date,general_comments,Libby notes
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_employed,"Below poverty level, employed","Number of people below poverty level, employed for whom poverty status is determined",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_unemployed,"Below poverty level, unemployed","Number of people below poverty level, unemployed for whom poverty status is determined",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_unemployed,"Below poverty level, unemployed","Number of people below poverty level, unemployed for whom poverty status is determined",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_unemployed,"Below poverty level, unemployed","Number of people below poverty level, unemployed for whom poverty status is determined",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_population_16_years_and_over,"Below poverty level, population 16 years and over","Number of people below poverty level, population 16 years and over for whom poverty status is determined",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_worked_full_time__year_round_in_the_past_12_months,"Below poverty level, worked full-time, year-round in the past 12 months","Number of people below poverty level, worked full-time, year-round in the past 12 months for whom poverty status is determined",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_worked_part_time_or_part_year_in_the_past_12_months,"Below poverty level, worked part-time or part-year in the past 12 months","Number of people below poverty level, worked part-time or part-year in the past 12 months for whom poverty status is determined",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_did_not_work,"Below poverty level, did not work","Number of people below poverty level, did not work for whom poverty status is determined",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_under_18_years,"Below poverty level, percent, under 18 years","Percent of people below poverty level, under 18 years for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_under_5_years,"Below poverty level, percent, under 5 years","Percent of people below poverty level, under 5 years for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_5_to_17_years,"Below poverty level, percent, 5 to 17 years","Percent of people below poverty level, 5 to 17 years for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_related_children_of_householder_under_18_years,"Below poverty level, percent, related children of householder under 18 years","Percent of people below poverty level, related children of householder under 18 years for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_18_to_64_years,"Below poverty level, percent, 18 to 64 years","Percent of people below poverty level, 18 to 64 years for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_18_to_34_years,"Below poverty level, percent, 18 to 34 years","Percent of people below poverty level, 18 to 34 years for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_35_to_64_years,"Below poverty level, percent, 35 to 64 years","Percent of people below poverty level, 35 to 64 years for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_60_years_and_over,"Below poverty level, percent, 60 years and over","Percent of people below poverty level, 60 years and over for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_65_years_and_over,"Below poverty level, percent, 65 years and over","Percent of people below poverty level, 65 years and over for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_male,"Below poverty level, percent, Male","Percent of people below poverty level, Male for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_female,"Below poverty level, percent, Female","Percent of people below poverty level, Female for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_white_alone,"Below poverty level, percent, White alone","Percent of people below poverty level, White alone for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category and corrected capitalization
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_black_or_african_american_alone,"Below poverty level, percent, Black or African American alone","Percent of people below poverty level, Black or African American alone for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_american_indian_and_alaska_native_alone,"Below poverty level, percent, American Indian and Alaska Native alone","Percent of people below poverty level, American Indian and Alaska Native alone for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_asian_alone,"Below poverty level, percent, Asian alone","Percent of people below poverty level, Asian alone for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_native_hawaiian_and_other_pacific_islander_alone,"Below poverty level, percent, Native Hawaiian and other Pacific Islander alone","Percent of people below poverty level, Native Hawaiian and other Pacific Islander alone for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_some_other_race_alone,"Below poverty level, percent, some other race alone","Percent of people below poverty level, some other race alone for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_two_or_more_races,"Below poverty level, percent, two or more races","Percent of people below poverty level, two or more races for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_hispanic_or_latino_origin__of_any_race_,"Below poverty level, percent, Hispanic or Latino origin (of any race)","Percent of people below poverty level, Hispanic or Latino origin (of any race) for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_white_alone__not_hispanic_or_latino,"Below poverty level, percent, White alone, not Hispanic or Latino","Percent of people below poverty level, White alone, not Hispanic or Latino for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_population_25_years_and_over,"Below poverty level, percent, population 25 years and over","Percent of people below poverty level, population 25 years and over for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_less_than_high_school_graduate,"Below poverty level, percent, less than high school graduate","Percent of people below poverty level, less than high school graduate for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_high_school_graduate__includes_equivalency_,"Below poverty level, percent, high school graduate (includes equivalency)","Percent of people below poverty level, high school graduate (includes equivalency) for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_some_college__associate_s_degree,"Below poverty level, percent, some college, associate's degree","Percent of people below poverty level, some college, associate's degree for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_bachelor_s_degree_or_higher,"Below poverty level, percent, bachelor's degree or higher","Percent of people below poverty level, bachelor's degree or higher for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_civilian_labor_force_16_years_and_over,"Below poverty level, percent, civilian labor force 16 years and over","Percent of people below poverty level, civilian labor force 16 years and over for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_employed,"Below poverty level, percent, employed","Percent of people below poverty level, employed for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_employed,"Below poverty level, percent, employed","Percent of people below poverty level, employed for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_employed,"Below poverty level, percent, employed","Percent of people below poverty level, employed for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_unemployed,"Below poverty level, percent, unemployed","Percent of people below poverty level, unemployed for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_unemployed,"Below poverty level, percent, unemployed","Percent of people below poverty level, unemployed for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_unemployed,"Below poverty level, percent, unemployed","Percent of people below poverty level, unemployed for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_population_16_years_and_over,"Below poverty level, percent, population 16 years and over","Percent of people below poverty level, population 16 years and over for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_worked_full_time__year_round_in_the_past_12_months,"Below poverty level, percent, worked full-time, year-round in the past 12 months","Percent of people below poverty level, worked full-time, year-round in the past 12 months for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_worked_part_time_or_part_year_in_the_past_12_months,"Below poverty level, percent, worked part-time or part-year in the past 12 months","Percent of people below poverty level, worked part-time or part-year in the past 12 months for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,below_poverty_level_percent_did_not_work,"Below poverty level, percent, did not work","Percent of people below poverty level, did not work for whom poverty status is determined",Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S1701  POVERTY STATUS IN THE PAST 12 MONTHS",https://data.census.gov/cedsci/table?q=S1701%3A%20POVERTY%20STATUS%20IN%20THE%20PAST%2012%20MONTHS&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S1701,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,over_60,Population over 60,Number of people over 60 years of age,Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S0101  AGE AND SEX",https://data.census.gov/cedsci/table?q=popoulation%20by%20age%20&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S0101,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,over_60_percent,"Population over 60, percent",Percent of the population over 60 years of age,Yearly,Percent,percent,"U.S. Census Bureau, American Community Survey, S0101  AGE AND SEX",https://data.census.gov/cedsci/table?q=popoulation%20by%20age%20&g=0100000US%240500000&y=2020&tid=ACSST5Y2020.S0101,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,disability_total,"Disability, total","Civilian noninstitutionalized population with a disability, total",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1810  DISABILITY CHARACTERISTICS",https://data.census.gov/cedsci/table?q=disability%20status&g=0100000US%240500000&tid=ACSST5Y2020.S1810,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,disability_male,"Disability, Male","Civilian noninstitutionalized population with a disability, Male",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1810  DISABILITY CHARACTERISTICS",https://data.census.gov/cedsci/table?q=disability%20status&g=0100000US%240500000&tid=ACSST5Y2020.S1810,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,disability_female,"Disability, Female","Civilian noninstitutionalized population with a disability, Female",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1810  DISABILITY CHARACTERISTICS",https://data.census.gov/cedsci/table?q=disability%20status&g=0100000US%240500000&tid=ACSST5Y2020.S1810,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,disability_white_alone,"Disability, White alone","Civilian noninstitutionalized population with a disability, White alone",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1810  DISABILITY CHARACTERISTICS",https://data.census.gov/cedsci/table?q=disability%20status&g=0100000US%240500000&tid=ACSST5Y2020.S1810,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,disability_black_or_african_american_alone,"Disability, Black or African American alone","Civilian noninstitutionalized population with a disability, Black or African American alone",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1810  DISABILITY CHARACTERISTICS",https://data.census.gov/cedsci/table?q=disability%20status&g=0100000US%240500000&tid=ACSST5Y2020.S1810,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,disability_american_indian_and_alaska_native_alone,"Disability, American Indian and Alaska Native alone","Civilian noninstitutionalized population with a disability, American Indian and Alaska Native alone",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1810  DISABILITY CHARACTERISTICS",https://data.census.gov/cedsci/table?q=disability%20status&g=0100000US%240500000&tid=ACSST5Y2020.S1810,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,disability_asian_alone,"Disability, Asian alone","Civilian noninstitutionalized population with a disability, Asian alone",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1810  DISABILITY CHARACTERISTICS",https://data.census.gov/cedsci/table?q=disability%20status&g=0100000US%240500000&tid=ACSST5Y2020.S1810,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,disability_native_hawaiian_and_other_pacific_islander_alone,"Disability, Native Hawaiian and Other Pacific Islander alone","Civilian noninstitutionalized population with a disability, Native Hawaiian and Other Pacific Islander alone",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1810  DISABILITY CHARACTERISTICS",https://data.census.gov/cedsci/table?q=disability%20status&g=0100000US%240500000&tid=ACSST5Y2020.S1810,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,disability_some_other_race_alone,"Disability, Some other race alone","Civilian noninstitutionalized population with a disability, Some other race alone",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1810  DISABILITY CHARACTERISTICS",https://data.census.gov/cedsci/table?q=disability%20status&g=0100000US%240500000&tid=ACSST5Y2020.S1810,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,disability_two_or_more_races,"Disability, Two or more races","Civilian noninstitutionalized population with a disability, Two or more races",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1810  DISABILITY CHARACTERISTICS",https://data.census.gov/cedsci/table?q=disability%20status&g=0100000US%240500000&tid=ACSST5Y2020.S1810,9/23/22,,Added category
Nutrition Security and Food Access,Demographics,Population Characteristic,disability_white_alone__not_hispanic_or_latino,"Disability, White alone, not Hispanic or Latino","Civilian noninstitutionalized population with a disability, White alone, not Hispanic or Latino",Yearly,Count,integer,"U.S. Census Bureau, American Community Survey, S1810  DISABILITY CHARACTERISTICS",https://data.census.gov/cedsci/table?q=disability%20status&g=0100000US%240500000&tid=ACSST5Y2020.S1810,9/23/22,,Added category
